Productos,Cantidad,Valor Unitario,Inversión ,Precio Venta ,Ganancia Real 
Toallas desmaquillantes ,6,"2,000","12,000","5,000",30000
Kit Boiaqua,1,"30,000",30000,"60,000",60000
Tonico Ordinary,1,"16,500",16500,"33,000",33000
Serum nicotinamida ,1,"3,800",3800,"12,000",12000
Lip gloss,3,"4,700",14100,"10,000",30000
Papel arroz,6,"2,800",16800,"6,000",36000
Sellador ,2,"10,000",20000,"20,000",40000
Lip gloss engoll,3,"5,500",16500,"11,000",33000
Velo facial ,6,800,4800,"3,000",18000
Pimple patch,3,"6,000",18000,"12,000",36000
Kit viajero,2,"7,500",15000,"15,000",30000
Molde hielo,3,"7,000",21000,"14,000",42000
Tonico de rosas ,2,"6,500",13000,"13,000",26000
Contorno ojos crema,5,"2,600",13000,"7,000",35000
Tinta benefit,2,"15,000",30000,"30,000",60000
,,,TOTAL,,TOTAL
,,,"244,500",,521000
